Departement,Zone Climatique
1,H1C
2,H1A
3,H1C
4,H2D
5,H1C
6,H3
7,H2C
8,H1B
9,H2C
10,H1B
11,H3
12,H2C
13,H3
14,H1A
15,H1C
16,H2B
17,H2B
18,H2B
19,H1C
20,H3
21,H1C
22,H2A
23,H1C
24,H2C
25,H1C
26,H2D
27,H1A
28,H1A
29,H2A
30,H3
31,H2C
32,H2C
33,H2C
34,H3
35,H2A
36,H2B
37,H2B
38,H1C
39,H1C
40,H2C
41,H2B
42,H1C
43,H1C
44,H2B
45,H1B
46,H2C
47,H2C
48,H2D
49,H2B
50,H2A
51,H1B
52,H1B
53,H2B
54,H1B
55,H2A
56,H2A
57,H1B
58,H1B
59,H1A
60,H1A
61,H1A
62,H1A
63,H1C
64,H2C
65,H2C
66,H3
67,H1B
68,H1B
69,H1C
70,H1B
71,H1C
72,H2B
73,H1C
74,H1C
75,H1A
76,H1A
77,H1A
78,H1A
79,H2B
80,H1A
81,H2C
82,H2C
83,H3
84,H2D
85,H2B
86,H2B
87,H1C
88,H1B
89,H1B
90,H1B
91,H1A
92,H1A
93,H1A
94,H1A
95,H1A
96,H1A
97,H1A
98,H1A
99,H1A